Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Баран,Аліна,Віталіївна,Жіноча,07-03-1948,Сантехнік,селище Носівка,"провулок Восьмого березня узвіз, буд. 17 кв. 4, Угнів, 84328",+380 82 130 53 97,smykhaliuk@example.org
Лагода,Данна,Валентинівна,Жіноча,19-12-1991,Фольклорист,місто Червоноград,"сквер Онілової, буд. 0 кв. 04, Армянськ, 97593",069 886-59-89,olenazhuchenko@example.org
Демиденко,Марина,Антонівна,Жіноча,03-10-1997,Епідеміолог,селище Зимогір'я,"набережна Володимира Вінниченка, буд. 48, Чугуїв, 64964",+380 (56) 920-73-13,makar55@example.com
Вовк,Аліна,Мартинівна,Жіноча,02-08-1960,Сантехнік,місто Первомайський ,"набережна Андреєвського, буд. 736 кв. 03, Острог, 54343",871 35 39,viraderhach@example.com
Опанасенко,Любов,Давидівна,Жіноча,04-03-1989,Євнух,селище Дергачі,"проспект Богуна, буд. 640, Бердянськ, 26737",022 048 90 98,myron96@example.org
Тимчук,Клавдія,Веніяминівна,Жіноча,23-01-1955,Флорист,селище Скадовськ,"провулок Колективний, буд. 9 кв. 11, Червоносів, 97004",006 709-21-04,khomenkotetiana@example.net
Вернигора,Ліза,Геннадіївна,Жіноча,30-01-1946,Гінеколог,місто Любомль,"вулиця Ломоносова, буд. 0, Глиняни, 96481",218-35-71,averkhola@example.com
Батюк,Сніжана,Алевтинівна,Жіноча,25-09-1991,Прокурор,хутір Чистякове,"шосе Братів Поджіо, буд. 6, Зоринськ, 47864",003 109 30 91,zlatoslavaonyshchenko@example.com
Девдюк,Орина,Данилівна,Жіноча,03-09-1960,Модельєр,місто Звенигородка,"площа Асташкіна, буд. 35, Арциз, 54115",+380 51 235 62 51,klavdiia64@example.net
Дейнеко,Аніта,Володимирівна,Жіноча,23-11-1981,Льотчик,селище Харцизьк,"площа Салтикова-Щедріна, буд. 28, Новоселиця, 27212",+380 39 102-48-94,androshchukiakiv@example.org
Ященко,Лілія,Лесівна,Жіноча,09-04-1998,Хімік,місто Радехів,"узвіз Лінія 35-та, буд. 01, Берестечко, 38291",260-90-55,marko90@example.org
Шеремет,Златослава,Арсенівна,Жіноча,14-12-1939,Детектив,хутір Дубляни,"парк Шилова, буд. 238 кв. 6, Чуднів, 02791",+380 (31) 012-69-28,datsenkomarusia@example.org
Бандера,Амалія,Едуардівна,Жіноча,05-11-1945,Модельєр,хутір Пустомити,"шосе Героїв Крут, буд. 28, Самбір, 88441",411 22 72,umanetsdemian@example.org
Аврамчук,Марія,Стефанівна,Жіноча,27-07-1983,Вчитель,хутір Свалява,"сквер Шкільний, буд. 47, Покровськ, 99770",+380 87 553-52-04,panteleimon02@example.com
Парасюк,Тетяна,Антонівна,Жіноча,26-03-1979,Клоун,селище Першотравенськ,"набережна Маршала Малиновського, буд. 1, Сорокине, 36595",+380 27 626-40-79,orest32@example.org
Охріменко,Василина,Віталіївна,Жіноча,02-04-1953,Локсмайстер,селище Шепетівка,"проспект Конструкторський, буд. 6, Залізне, 96468",887 98 07,yonyshchenko@example.com
Ґерус,Ганна,Давидівна,Жіноча,07-06-1998,Головний меркшейдер,селище Дніпро ,"провулок Комітетська, буд. 182, Алчевськ, 99519",+380 95 336-92-51,martagerus@example.net
Тарасенко,Софія,Семенівна,Жіноча,24-09-1943,Режисер,хутір Нове Давидково,"набережна Студентський 3-й, буд. 1 кв. 454, Кремінна, 86874",+380 (25) 495-65-43,iefremdavymuka@example.net
Негода,Роксолана,Єфремівна,Жіноча,10-04-1997,Державний службовець,село Тернопіль,"проспект Колонічна, буд. 1, Болград, 54149",+380 50 814-05-05,sliusariukhym@example.com
Тесленко,Ольга,Валеріївна,Жіноча,25-12-1999,Кур'єр,місто Гірник ,"площа Житомирський 3-й, буд. 857, Калинівка , 21640",+380 (22) 905-43-92,orysia06@example.com
Валенко,Ярина,Степанівна,Жіноча,04-08-1959,Краєзнавець,місто Коростишів,"сквер Думська, буд. 934 кв. 390, Дніпрорудне, 52658",+380 (17) 330-79-79,iushchenkoklyment@example.com
Чабан,Марʼяна,Омелянівна,Жіноча,19-10-1979,Випробувач,хутір Судова Вишня,"вулиця Пассіонарії, буд. 921, Гайсин, 16167",953 39 25,zhadananton@example.net
Ґереґа,Валентина,Орхипівна,Жіноча,20-06-1946,Педагог,село Жидачів,"парк Литовська, буд. 5 кв. 4, Червоноград, 67183",+380 91 091-88-75,khomalevchenko@example.org
Корсун,Єлисавета,Святославівна,Жіноча,05-04-1978,Перекладач,село Костянтинівка,"вулиця Пересипська 8-ма, буд. 8, Шаргород, 78681",+380 (40) 190-49-68,barabashhennadii@example.org
Радченко,Марта,Олександрівна,Жіноча,20-01-1946,Диригент,селище Березне,"сквер Салтикова-Щедріна, буд. 06, Коростишів, 05831",+380 62 571-80-93,dzyndraiosyp@example.org
Скопенко,Пріска,Дмитріївна,Жіноча,04-08-1971,Історик,хутір Дубно,"сквер Трудовий, буд. 434, Білозерське, 02756",086 244 45 98,anzhelakabanenko@example.net
Бездітко,Ярина,Юстимівна,Жіноча,11-11-1954,Пекар,селище Лутугине,"площа Туристська, буд. 49, Ватутіне, 81169",011 009 32 96,wovcharenko@example.net
Акименко,Марʼяна,Миронівна,Жіноча,05-10-1979,Клавішник,хутір Карлівка,"набережна Метрополітенівський, буд. 1, Корсунь-Шевченківський, 93759",267-38-50,shyianihnat@example.org
Гоголь-Яновська,Марʼяна,Борисівна,Жіноча,06-10-1983,Ювелір,місто Деражня,"набережна Селекційний, буд. 66 кв. 311, Борщів, 87140",442-16-40,serhii19@example.net
Ткаченко,Еріка,Захарівна,Жіноча,05-10-1974,Громадський діяч,хутір Сіверськ,"набережна Умова, буд. 16, Ясинувата, 31343",+380 50 598-21-97,marianaarsenych@example.com
Башполченко,Оксана,Антонівна,Жіноча,20-09-1941,Намотувальник,селище Святогірськ,"площа Виноградна 3-тя, буд. 7, Тернопіль, 37392",+380 (66) 392-88-62,azardemydenko@example.org
Черненко,Любов,Вікторівна,Жіноча,12-03-1984,Музикант,селище Дружківка,"провулок Волзький, буд. 5 кв. 609, Іловайськ, 80937",+380 86 344 39 84,demian41@example.org
Рудько,Клавдія,Антонівна,Жіноча,14-12-1980,Епідеміолог,місто Броди,"проспект Рибальський, буд. 281, Батурин, 31387",099 746-60-66,pryimakmykolai@example.org
Забашта,Еріка,Зорянівна,Жіноча,09-11-1991,Кінолог,селище Бобринець,"вулиця Єлисаветградський, буд. 759 кв. 078, Рудки, 69033",+380 87 880 72 53,halynavernydub@example.org
Ящук,Ада,Русланівна,Жіноча,30-04-1990,Сценарист,село Чугуїв,"узвіз Олександра Тимошенка, буд. 965 кв. 232, Трускавець, 94760",+380 33 033 45 95,uivasiuk@example.net
Тригуб,Христина,Опанасівна,Жіноча,30-03-1976,Випробувач,село Боково-Хрустальне,"проспект Студентський 5-й, буд. 623, Приморськ (Україна), 02407",+380 25 984-99-04,kamilla84@example.net
Батюк,Віолетта,Йосипівна,Жіноча,02-02-1961,Мірошник,село Верхньодніпровськ,"провулок Вапняний 2-й, буд. 53, Вільнянськ, 02905",279 70 01,venedykthohol@example.com
Запорожець,Пріска,Болеславівна,Жіноча,20-03-2003,Електромонтер,хутір Привілля,"шосе Чумацька, буд. 2 кв. 39, Тульчин, 41849",078 390-92-04,ruslansymonenko@example.net
Байдак,Клавдія,Трохимівна,Жіноча,14-04-1978,Шериф,місто Кам'янка (Черкаська область),"вулиця Ковалевського узвіз, буд. 7 кв. 948, Перечин, 89266",+380 29 713 16 37,iemelianenkoihor@example.com
Царенко,Лілія,Гаврилівна,Жіноча,03-02-2002,Епідеміолог,місто Сорокине,"сквер Вершинна, буд. 09 кв. 0, Перевальськ, 88329",+380 (22) 196-72-05,vasylevychieva@example.net
Алексеєнко,Одарка,Стефанівна,Жіноча,30-10-1974,Мікробіолог,село Кропивницький,"сквер Серединський, буд. 74, Джанкой, 68152",+380 45 712-46-91,zhurbaserhii@example.com
